origin,angles,info
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.playlist:fs_1v1"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.map:mp_rr_aqueduct"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.spawnsCount:26"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.teamCount:2"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.devAutoSave:false"
"< 3943.16, -4935.13, 272.031>","< 354.995, 191.887, 0>"  ,"spawn_0"
"< 3328.96, -5063.98, 400.156>","< 11.7545, 13.8941, 0>"  ,"spawn_1"
"< 1928.93, -2990.37, 35.4146>","< 357.699, 197.101, 0>"  ,"spawn_2"
"< 1376.17, -3046.65, 40.8268>","< 358.936, 352.362, 0>"  ,"spawn_3"
"< 370.451, -2750.66, -15.9688>","< 1.6795, 358.815, 0>"  ,"spawn_4"
"< 1033.2, -2778.38, -15.9688>","< 358.443, 176.773, 0>"  ,"spawn_5"
"< -709.296, -4116.18, 432.031>","< 1.31177, 214.495, 0>"  ,"spawn_6"
"< -1438.77, -4614.13, 398.063>","< 359.127, 33.9773, 0>"  ,"spawn_7"
"< -1807.94, -2454, -163.806>","< 5.62178, 352.986, 0>"  ,"spawn_8"
"< -1284.77, -2559.2, -173.958>","< 358.997, 163.754, 0>"  ,"spawn_9"
"< -895.956, -6437.81, 400.031>","< 359.734, 321.768, 0>"  ,"spawn_10"
"< -331.744, -6876.19, 400.031>","< 359.777, 140.555, 0>"  ,"spawn_11"
"< 285.979, -5654.93, 336.031>","< 356.616, 0.641826, 0>"  ,"spawn_12"
"< 1083.9, -5629.52, 336.031>","< 358.109, 181.555, 0>"  ,"spawn_13"
"< 1905.55, -6209.87, 336.031>","< 1.12834, 237.925, 0>"  ,"spawn_14"
"< 1399.07, -6893.19, 336.031>","< 0.313572, 53.1845, 0>"  ,"spawn_15"
"< 2209.39, -6587.2, 400.031>","< 359.584, 226.488, 0>"  ,"spawn_16"
"< 1883.49, -6940.69, 400.035>","< 0.260131, 46.1014, 0>"  ,"spawn_17"
"< 2965.88, -5690.35, 315.921>","< 359.572, 140.085, 0>"  ,"spawn_18"
"< 2298.29, -5429.55, 400.031>","< 2.22897, 338.118, 0>"  ,"spawn_19"
"< 2545.38, -4614.7, 217.698>","< 1.84819, 183.431, 0>"  ,"spawn_20"
"< 2144.33, -4648.38, 224.004>","< 358.331, 5.50482, 0>"  ,"spawn_21"
"< 3230.68, -2449.97, -165.867>","< 356.957, 190.303, 0>"  ,"spawn_22"
"< 2727.06, -2554.26, -174.335>","< 359.116, 13.3493, 0>"  ,"spawn_23"
"< -849.603, -3629.49, 272.031>","< 1.30157, 263.481, 0>"  ,"spawn_24"
"< -885.019, -4076.81, 272.031>","< 359.378, 85.7523, 0>"  ,"spawn_25"
vector,vector,string
