origin,angles,info
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.playlist:fs_1v1"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.map:mp_rr_desertlands_64k_x_64k"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.spawnsCount:6"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.teamCount:2"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.devAutoSave:false"
"< 5455.44, 3129.67, -3703.97>","< 357.095, 71.0851, 0>"  ,"spawn_0"
"< 5542.96, 3670.5, -3703.97>","< 5.56424, 271.355, 0>"  ,"spawn_1"
"< 6188.55, 4108.52, -3703.97>","< 1.95513, 273.746, 0>"  ,"spawn_2"
"< 6151.07, 3732.46, -3903.97 >","< 2.62686, 341.583, 0>" ,"spawn_6"
"< 5394.26, 3812.3, -3503.97>","< 9.02162, 176.015, 0>"  ,"longrange"
"< 2279, 4544.99, -3076.84>","< 12.6224, 352.751, 0>"  ,"longrange"
vector,vector,string
