path,name,category
"media/playlists/grapples_n_guns/grapples_attach_come_here.bik","attach_come_here","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_attach_get_over.bik","attach_get_over","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_attach_rod_reel.bik","attach_rod_reel","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_attach_splat.bik","attach_splat","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_countdown_1min.bik","countdown_1min","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_countdown_20sec.bik","countdown_20sec","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_hs_cash.bik","hs_cash","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_hs_coin.bik","hs_coin","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_hs_headshot.bik","hs_headshot","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_hs_meow.bik","hs_meow","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_hs_ring_drop.bik","hs_ring_drop","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_hs_screech.bik","hs_screech","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_hs_terminated.bik","hs_terminated","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_hs_toasty.bik","hs_toasty","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_hs_uwu.bik","hs_uwu","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_intro_get_some.bik","intro_get_some","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_intro_lets_dance.bik","intro_lets_dance","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_intro_lets_rock.bik","intro_lets_rock","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_loss_cryin.bik","loss_cryin","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_loss_game_over.bik","loss_game_over","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_loss_pissed_off.bik","loss_pissed_off","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_loss_sh_happens.bik","loss_sh_happens","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_loss_this_sucks.bik","loss_this_sucks","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_map_fall_pancake.bik","map_fall_pancake","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_melee1.bik","melee1","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_melee2.bik","melee2","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_melee3.bik","melee3","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_melee4.bik","melee4","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_melee5.bik","melee5","grapples_n_guns"
"media/playlists/grapples_n_guns/grapples_win_back2work.bik","win_back2work","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_win_cake.bik","win_cake","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_win_gotta_hurt.bik","win_gotta_hurt","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_win_hail.bik","win_hail","grapples_n_guns_announce"
"media/playlists/grapples_n_guns/grapples_win_im_good.bik","win_im_good","grapples_n_guns_announce"
string,string,string
